date,regime_label,prob_high_tpu,prob_nonhigh,p01_entry,p10_exit,tpu_level,log_tpu_z,log_vix_z,vix
2021-03-09,Non-High-TPU,0.00033108054173670794,0.9996689194582633,0.0036747364613664664,0.004503021373225545,894.01,0.7482002286370105,0.9720178240379966,25.47
2021-03-10,Non-High-TPU,2.7144888731945106e-05,0.9999728551112681,0.0025168985695579954,0.003978618477410785,324.58,-0.38984631481947435,0.7807945319272437,24.03
2021-03-11,Non-High-TPU,2.5319808559804518e-05,0.9999746801914402,0.001668838719482492,0.0034783948400240734,418.9,-0.10330840636462232,0.5733845071054338,22.56
2021-03-12,Non-High-TPU,6.002625178962342e-05,0.9999399737482103,0.001379501176105903,0.003268464793922756,1036.43,0.9142375729890811,0.47732549869154123,21.91
2021-03-15,Non-High-TPU,8.513896367340378e-06,0.9999914861036328,0.0009497501619684228,0.0028929918576374187,312.02,-0.4341745731679447,0.2890776830318872,20.69
2021-03-16,Non-High-TPU,1.6668216311787672e-05,0.9999833317836883,0.0007688647998340284,0.0026999165897434057,902.11,0.7583312659745197,0.18255670574481933,20.03
2021-03-17,Non-High-TPU,3.7052580686306413e-08,0.9999999629474193,0.0007107671746977327,0.002631450763946858,190.82,-0.9865113227738994,0.1429493192969554,19.79
2021-03-18,Non-High-TPU,4.851193184424986e-08,0.9999999514880682,0.0005894724762671848,0.0024753039111723644,290.61,-0.5140199996330188,0.04863198394913162,19.23
2021-03-19,Non-High-TPU,1.326120237852464e-07,0.9999998673879762,0.001249646518820912,0.003164517912767235,349.82,-0.3057308236569833,0.4274607300392455,21.58
2021-03-22,Non-High-TPU,7.416240711234768e-08,0.9999999258375929,0.001030269903843549,0.0029709861638368327,215.38,-0.8505173033790966,0.33011029962144917,20.95
2021-03-23,Non-High-TPU,1.0911827880243464e-05,0.9999890881721197,0.00052294757033848,0.0023802710012125077,499.49,0.09433110982266296,-0.011721486378543576,18.88
2021-03-24,Non-High-TPU,2.314332006018384e-05,0.9999768566799397,0.0008389772039138749,0.0027780513042061404,659.75,0.4068980177297708,0.22655167023986306,20.3
2021-03-25,Non-High-TPU,3.4689639015831534e-05,0.9999653103609841,0.001113062100914589,0.0030470137050231556,542.66,0.18744226420179558,0.3690873044970252,21.2
2021-03-26,Non-High-TPU,6.340569207258215e-05,0.9999365943079275,0.0007154622967913878,0.0026371207898693207,761.49,0.5679882130085508,0.1462682316807554,19.81
2021-03-29,Non-High-TPU,5.86450310767105e-05,0.9999413549689233,0.0005193465602960832,0.002374899900049284,916.1,0.7756168295969006,-0.015203969990815941,18.86
2021-03-30,Non-High-TPU,5.9802941623128744e-06,0.9999940197058377,0.0009648069641035179,0.0029079057531525413,349.42,-0.3070159181905787,0.29700846887743754,20.74
2021-03-31,Non-High-TPU,2.512697481154226e-06,0.9999974873025189,0.0006696709302258006,0.002580710441377051,501.86,0.0996480840656433,0.11292727608751485,19.61
2021-04-01,Non-High-TPU,2.211779190043423e-09,0.9999999977882208,0.0006242829166889957,0.002522172466451063,156.27,-1.2108725795555269,0.07755129601683086,19.4
2021-04-05,Non-High-TPU,1.689326418162909e-08,0.9999999831067358,0.0002991471673917852,0.0019829610447260953,205.92,-0.9009687919639277,-0.29318984704091516,17.33
2021-04-06,Non-High-TPU,1.933117490316079e-06,0.9999980668825097,0.0003707749539925271,0.002127144709669346,620.73,0.33842014665365117,-0.1850234773848872,17.91
2021-04-07,Non-High-TPU,2.971683714571009e-06,0.9999970283162853,0.0004000553117858441,0.002180670279458026,746.75,0.5460327723586235,-0.14672152681781955,18.12
2021-04-08,Non-High-TPU,1.0798539833657814e-07,0.9999998920146016,0.000280522086795245,0.0019417136119319503,267.01,-0.6091537173344133,-0.32558053594898184,17.16
2021-04-09,Non-High-TPU,6.581394134495055e-07,0.9999993418605866,0.000258878072174702,0.0018913937953695305,631.9,0.35845301688625203,-0.3660384980637497,16.95
2021-04-12,Non-High-TPU,9.231024438354105e-08,0.9999999076897556,0.000234054023450374,0.0018300608699009528,367.31,-0.250930976003955,-0.4168295198289474,16.69
2021-04-13,Non-High-TPU,3.098081804202592e-11,0.9999999999690192,0.0002549200375788926,0.0018818883052673847,110.67,-1.5984257427774347,-0.3738015801879321,16.91
2021-04-14,Non-High-TPU,1.432219965119445e-07,0.9999998567780035,0.00023042006147497597,0.0018207199642308659,474.17,0.03589845727697685,-0.4247136819335938,16.65
2021-04-15,Non-High-TPU,1.2514296377086085e-08,0.9999999874857036,0.0002628879980303195,0.0019009246317192642,283.04,-0.5436666338102698,-0.3582937143233519,16.99
2021-04-16,Non-High-TPU,1.259698527672527e-10,0.9999999998740301,0.00022329523310570882,0.0018021140306142295,140.99,-1.3264495019651668,-0.44053898877198755,16.57
2021-04-19,Non-High-TPU,2.1851158993654227e-10,0.9999999997814885,0.00019662942727543655,0.0017287009740446187,157.54,-1.2017809733836,-0.5046136185076765,16.25
2021-04-20,Non-High-TPU,4.390493743729591e-09,0.9999999956095063,0.00029467327941847617,0.0019732144945758066,253.11,-0.6692041266147034,-0.30078250895354164,17.29
2021-04-21,Non-High-TPU,2.295288385888418e-09,0.9999999977047117,0.00048787062977811323,0.0023268484240808475,206.9,-0.895635842556081,-0.04671354213137273,18.68
2021-04-22,Non-High-TPU,1.3313884271663097e-09,0.9999999986686116,0.0003188083368759604,0.0020246674377762675,179.06,-1.057959997266443,-0.26111535135702296,17.5
2021-04-23,Non-High-TPU,1.5077184199537562e-08,0.9999999849228158,0.0004930015505885517,0.0023348209607780683,244.36,-0.7087214254649873,-0.04144091786978639,18.71
2021-04-26,Non-High-TPU,1.4022304199904043e-06,0.99999859776958,0.0002991471673917852,0.0019829610447260953,659.46,0.40640417874420987,-0.29318984704091516,17.33
2021-04-27,Non-High-TPU,2.707901149502203e-07,0.9999997292098851,0.000335810784820775,0.00205935885056654,353.06,-0.2953753921137627,-0.23493415322745634,17.64
2021-04-28,Non-High-TPU,8.498874620529766e-07,0.9999991501125379,0.0003260036352759775,0.0020394970139634744,629.7,0.35453557337823166,-0.2498692833994909,17.56
2021-04-29,Non-High-TPU,1.3513035195727041e-08,0.9999999864869649,0.0002935636992031928,0.001970781826516636,210.17,-0.8780222071848174,-0.30268341903293866,17.28
2021-04-30,Non-High-TPU,9.00296296213372e-07,0.9999990997037038,0.0003321042510716738,0.0020518987302744086,464.65,0.013117561162999052,-0.24052687454471278,17.61
2021-05-03,Non-High-TPU,3.7316781157420387e-06,0.9999962683218843,0.0004760739119323554,0.0023083018779040117,534.03,0.1694357056058197,-0.059049336113719014,18.61
2021-05-04,Non-High-TPU,1.0504608793978447e-05,0.9999894953912061,0.00042821026524508105,0.0022297046165854267,1076.23,0.9565634678798643,-0.11244795960010667,18.31
2021-05-05,Non-High-TPU,9.697398719311238e-08,0.9999999030260128,0.000641256483316564,0.0025443890024668134,235.22,-0.7515406722829415,0.09107280884648451,19.48
2021-05-06,Non-High-TPU,4.6849554115876214e-08,0.9999999531504459,0.0005736682741657131,0.002453408769093792,244.36,-0.7087214254649873,0.03493431750114111,19.15
2021-05-07,Non-High-TPU,2.9587665607727954e-06,0.9999970412334392,0.00044055677041492883,0.0022505231760252924,495.83,0.08607031921956183,-0.09812325906669632,18.39
2021-05-10,Non-High-TPU,7.567579295553584e-06,0.9999924324207043,0.000234054023450374,0.0018300608699009528,569.6,0.24186464321691703,-0.4168295198289474,16.69
2021-05-11,Non-High-TPU,1.030843886640557e-05,0.9999896915611336,0.0006808795163654553,0.0025947526442631967,1013.89,0.8895401828768269,0.12129428590703216,19.66
2021-05-12,Non-High-TPU,4.0503269826374485e-07,0.9999995949673017,0.001351043812143696,0.003246267433679482,294.01,-0.5009549384891236,0.46681117618141454,21.84
2021-05-13,Non-High-TPU,2.025458665690765e-07,0.9999997974541335,0.006174824461004154,0.0053373424497785565,291.31,-0.5113176827941419,1.234718273850408,27.59
2021-05-14,Non-High-TPU,5.970243446627993e-07,0.9999994029756553,0.0019632284644540096,0.003668161415675925,292.65,-0.5061627410415684,0.6553700299333809,23.13
2021-05-17,Non-High-TPU,5.0529430136894454e-08,0.9999999494705698,0.0005104357016003607,0.002361500196318675,206.26,-0.899115715234482,-0.023926361576044747,18.81
2021-05-18,Non-High-TPU,2.5603547277114266e-06,0.9999974396452723,0.0006945389185754101,0.0026116564174163254,715.57,0.49812556873844227,0.13130665418462184,19.72
2021-05-19,Non-High-TPU,4.637755872869626e-07,0.9999995362244127,0.0011618336890390725,0.0030900319548601645,371.81,-0.2372535546094145,0.3907141440843807,21.34
2021-05-20,Non-High-TPU,1.1456361546731918e-07,0.9999998854363845,0.0014940601838313462,0.0033548304556641133,291.11,-0.512089110148091,0.517568469647992,22.18
2021-05-21,Non-High-TPU,2.014267558939209e-07,0.9999997985732441,0.0009437833314598174,0.0028870376289173677,320.07,-0.40556299957367353,0.28590000098479507,20.67
2021-05-24,Non-High-TPU,2.3423459160824134e-07,0.9999997657654084,0.0007993877956591887,0.0027344978557149145,360.6,-0.27163994309192957,0.2021827848868509,20.15
