date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-05-28,Low-TPU,Low-TPU,1.0035404301366358e-07,6.83061315234517e-08,0.3287790954944383,0.6712208361994754,5.933385121031149,0.8072211823614408,11.93,377.43
2024-05-29,Low-TPU,Low-TPU,7.61264367773343e-09,1.8204443100148777e-06,0.38135942582187066,0.6186387537338612,5.2988172415896875,-0.6345678794414615,12.92,200.1
2024-05-30,Low-TPU,Mid-TPU,2.0560541152789015e-07,1.8777776453026457e-06,0.43295698601414195,0.5670411362082269,5.9595609980949735,0.660743756505286,14.28,387.44
2024-05-31,Low-TPU,Mid-TPU,5.914964677761029e-08,1.8820940388165378e-06,0.4819618888137593,0.518036229092182,5.614076561571708,-0.34548443652326544,14.47,274.26
2024-06-03,Mid-TPU,Mid-TPU,2.4378406284553136e-07,1.8820876823791033e-06,0.5272575306498904,0.4727405872624336,5.540518169395703,-0.0735583921760048,12.92,254.81
2024-06-04,Mid-TPU,Mid-TPU,1.7578494516517437e-05,1.885422652477519e-06,0.5698990477567759,0.43009906682059373,7.020280069823982,1.4797619004282785,13.11,1119.1
2024-06-05,Mid-TPU,Mid-TPU,5.768053144284186e-07,1.8816152217013733e-06,0.6036967092255157,0.3963014091592807,5.704615460960093,-1.315664608863889,13.16,300.25
2024-06-06,Mid-TPU,Mid-TPU,4.45721931259391e-08,1.881199066686652e-06,0.6339641025217035,0.366034016279238,5.513307771105859,-0.1913076898542334,12.63,247.97
2024-06-07,Mid-TPU,Mid-TPU,3.0086337412464573e-09,1.8678161976565745e-06,0.6617335792738834,0.33826455290992435,5.037471948049816,-0.47583582305604377,12.58,154.08
2024-06-10,Mid-TPU,Mid-TPU,3.484005911972152e-08,2.1146066534264052e-06,0.6946688808496089,0.3053290045437606,5.491125414066127,0.45365346601631185,12.22,242.53
2024-06-11,Mid-TPU,Mid-TPU,6.22797352522074e-08,2.157846921435476e-06,0.7240945254883976,0.27590331666470935,5.603004037815642,0.11187862374951418,12.74,271.24
2024-06-12,Mid-TPU,Mid-TPU,3.4510935305194063e-09,4.136339461439242e-07,0.7474508536996926,0.25254873266639744,5.047288611744291,-0.5557154260713508,12.85,155.6
2024-06-13,Mid-TPU,Mid-TPU,7.177672122711784e-08,2.4602857856784746e-06,0.7755394828917603,0.22445805682250547,5.525612288984722,0.47832367724043134,12.04,251.04
2024-06-14,Mid-TPU,Mid-TPU,2.527054204475915e-06,2.5073721459582462e-06,0.8052488324507137,0.1947486601771939,6.370927852677146,0.8453155636924237,11.94,584.6
2024-06-17,Mid-TPU,Mid-TPU,6.761867429362353e-07,2.8727566279759117e-06,0.8361991299047583,0.1637979973386308,5.953243334287785,-0.41768451838936116,12.66,385.0
2024-06-18,Mid-TPU,Mid-TPU,1.3636476360192136e-07,2.870192791012145e-06,0.8615047932988767,0.13849233650832887,5.346631226826587,-0.6066121074611974,12.75,209.9
2024-06-20,Mid-TPU,Mid-TPU,2.1043323709773923e-05,2.8671809329635586e-06,0.883572772178295,0.11642436064077162,6.944829459211903,1.5981982323853154,12.3,1037.77
2024-06-21,Mid-TPU,Mid-TPU,5.154357959236542e-07,2.8674206352731985e-06,0.903068722274913,0.09692841030445144,5.529389404184368,-1.4154400550275348,13.28,251.99
2024-06-24,Mid-TPU,Mid-TPU,3.6568534539179e-06,2.8785563108370112e-06,0.9156149038386292,0.08438221760503765,6.4415205385440215,0.9121311343596537,13.2,627.36
2024-06-25,Mid-TPU,Mid-TPU,9.20168948205742e-09,2.6298107381962016e-06,0.9186711998580354,0.08132617033118014,5.077296560614806,-1.3642239779292158,13.33,160.34
2024-06-26,Mid-TPU,Mid-TPU,3.216115476634226e-08,2.955143390170398e-06,0.9224632618694859,0.07753378298708224,5.411154859811406,0.33385829919660015,12.84,223.89
2024-06-27,Mid-TPU,Mid-TPU,5.848116626916681e-09,2.962778428617394e-06,0.9253975625490837,0.07459947467244657,5.0891383555842,-0.3220165042272063,12.55,162.25
2024-06-28,Mid-TPU,Mid-TPU,1.8313347686524956e-07,1.1700622747448828e-05,0.9279448988175047,0.07204340055968471,5.757954953544594,0.6688165979603946,12.24,316.7
2024-07-01,Mid-TPU,Mid-TPU,3.9598478067818145e-08,0.0002732095235806271,0.9329218200372862,0.06680497043908616,5.330494098243258,-0.4274608553013364,12.44,206.54
2024-07-02,Mid-TPU,Mid-TPU,3.9295132626781975e-06,0.0006089191572455194,0.9385762551229945,0.06081482571973965,6.461296286581517,1.1308021883382589,12.22,639.89
2024-07-03,Mid-TPU,Mid-TPU,2.1271514807188037e-07,0.0009744913787482382,0.9484894239637276,0.05053608465751597,5.080285727120003,-1.3810105594615134,12.03,160.82
2024-07-05,Mid-TPU,Mid-TPU,0.00010842176689808827,0.0013493207889293123,0.9594005200122803,0.03925015919878911,5.794719469648303,0.7144337425282998,12.09,328.56
2024-07-08,Mid-TPU,Mid-TPU,0.0026156044441277065,0.0016620795413080126,0.9704715492970413,0.027866371161637704,6.88404643233533,1.0893269626870268,12.48,976.57
2024-07-09,Mid-TPU,Mid-TPU,0.003360753190102841,0.0016762808938291338,0.9793209172909829,0.019002801815181426,6.7560133624205765,-0.12803306991475338,12.37,859.21
2024-07-10,Mid-TPU,Mid-TPU,0.003655731416716669,0.0016763219861295766,0.986082030586866,0.012241647427021395,6.69287747208496,-0.06313589033561673,12.51,806.64
